year,month,expected_days,valid_days,completeness_pct,is_complete_period,mean_temperature_C,mean_max_temperature_C,mean_min_temperature_C,mean_diurnal_range_C,precipitation_mm,mean_relative_humidity_pct,mean_solar_radiation_kWh_m2_day,hot_day_count,frost_day_count,dry_day_count,heavy_rain_day_count,longest_dry_spell_days
2004,2,29,29,100.0,True,4.755172413793104,10.319310344827588,-0.12689655172413788,10.446206896551724,116.77999999999999,80.84793103448277,10.244482758620688,0,18,18,1,9
2004,3,31,31,100.0,True,12.257419354838708,19.017096774193547,6.292258064516129,12.72483870967742,41.88,76.91806451612904,17.461935483870967,0,3,23,0,9
2004,4,30,30,100.0,True,15.709333333333332,22.958666666666662,8.635333333333335,14.32333333333333,48.67,69.96666666666667,20.825666666666667,0,0,24,0,11
2004,5,31,31,100.0,True,23.312903225806448,30.38064516129032,16.57645161290323,13.804193548387095,69.22,67.61322580645161,22.116451612903226,1,0,17,0,6
2004,6,30,30,100.0,True,25.761,32.12166666666666,20.195,11.92666666666667,170.38,69.89833333333333,20.136666666666667,5,0,9,1,3
2004,7,31,31,100.0,True,26.863548387096774,33.24967741935484,21.04032258064516,12.209354838709677,107.84000000000002,69.39387096774192,23.029677419354837,8,0,12,0,5
2004,8,31,31,100.0,True,25.05677419354838,31.884193548387096,19.143870967741936,12.740322580645163,87.67,68.29741935483872,20.59225806451613,2,0,18,1,5
2004,9,30,30,100.0,True,21.28066666666667,26.718,16.778333333333332,9.939666666666664,323.83000000000004,80.35033333333332,16.035,0,0,21,4,9
2004,10,31,31,100.0,True,17.47612903225806,23.118387096774192,12.812580645161292,10.305806451612902,28.41,84.57677419354835,11.688709677419354,0,0,21,0,8
2004,11,30,30,100.0,True,11.777333333333331,17.442999999999998,6.990666666666667,10.452333333333332,127.66999999999999,83.00633333333334,9.872666666666667,0,3,16,0,6
2004,12,31,31,100.0,True,5.4148387096774195,11.446129032258062,0.1851612903225806,11.260967741935483,95.13,79.52064516129033,9.991612903225805,0,18,23,0,11
2005,1,31,31,100.0,True,6.140645161290322,11.991935483870966,1.6832258064516135,10.308709677419357,52.39,82.53451612903226,9.68935483870968,0,13,25,0,14
2005,2,28,28,100.0,True,6.640357142857142,12.365714285714287,1.5214285714285716,10.844285714285716,119.24,83.48357142857141,10.879642857142855,0,14,18,1,5
2005,3,31,31,100.0,True,9.548064516129033,15.830967741935487,3.6793548387096773,12.151612903225805,151.35999999999996,78.74,16.12741935483871,0,9,21,1,6
2005,4,30,30,100.0,True,14.595333333333334,20.798,8.679666666666666,12.11833333333333,106.41000000000001,79.32699999999997,20.18733333333334,0,0,18,0,8
2005,5,31,31,100.0,True,18.88548387096774,24.85161290322581,12.850967741935483,12.000645161290324,73.22,76.33612903225807,22.5941935483871,0,0,22,0,9
2005,6,30,30,100.0,True,23.713333333333335,28.908666666666665,19.045666666666666,9.863,207.61,80.87433333333335,20.929333333333332,0,0,9,1,4
2005,7,31,31,100.0,True,26.13,31.190645161290323,21.68967741935484,9.500967741935481,193.71999999999994,80.84935483870967,20.37354838709677,3,0,7,1,5
2005,8,31,31,100.0,True,25.971290322580646,31.605483870967742,20.98774193548387,10.61774193548387,123.85999999999999,77.12032258064517,20.22129032258065,3,0,13,0,4
